Time,Device name设备名称,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:46:02.419,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:2:24.135, -0.006, -0.014, 1.002, 0, 0, 0, 0.148, -0.126, 0.192, 23.814, 3190.978, 58.604, 23.18, 0.99994, -0.0069, 0.00308, 0.00171,
 16:46:02.420,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:2:24.135, -0.006, -0.014, 1.001, 0, 0, 0, 0.148, -0.126, 0.192, 23.814, 3190.978, 58.604, 23.18, 0.99994, -0.0069, 0.00308, 0.00171,
 16:46:02.420,WTCrank(c3:a3:c5:ed:f8:8e), 2015-1-1 0:2:25.380, 0.024, -1.019, 0.022, -0.305, 0.183, 0, 0.461, -0.137, 118.499, 34.888, 75.460, -34.300, 24.71, 0.37085, -0.35114, -0.60828, 0.60751,
 16:46:02.442,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:2:28.445, 0.009, 0.008, 1.006, 0, 0, 0, 0.016, 0.011, 128.672, 44.688, -35.868, 0.980, 26.35, 0.43301, 0.00595, 0.00238, 0.90131,
 16:46:02.445,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:2:24.135, -0.006, -0.013, 1.001, 0, 0, 0, 0.148, -0.126, 0.192, 23.814, 3190.978, 58.604, 23.18, 0.99994, -0.0069, 0.00308, 0.00171,
 16:46:02.445,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:2:24.135, -0.006, -0.014, 1.002, 0, 0, 0, 0.148, -0.126, 0.192, 23.814, 3190.978, 58.604, 23.18, 0.99994, -0.0069, 0.00308, 0.00171,
 16:46:02.450,WTRocker(e2:c7:f5:e1:23:63), 2015-1-1 0:2:18.980, 0.002, 0.02, 1.016, 0, 0, 0, 1.104, -0.137, 131.138, 22.148, -21.854, -80.654, 22.11, 0.41348, 0.0051, 0.0083, 0.9104,
 16:46:02.472,WTCoupler_Out(f9:7a:4a:df:60:c4), 2015-1-1 0:2:28.445, 0.008, 0.009, 1.007, 0, 0, 0, 0.016, 0.011, 128.672, 44.688, -35.868, 0.980, 26.35, 0.43301, 0.00595, 0.00238, 0.90131,
 16:46:02.476,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:2:25.355, -0.006, -0.013, 1.002, 0, 0, 0, 0.148, -0.126, 0.192, 23.814, 3190.978, 58.604, 23.18, 0.99994, -0.0069, 0.00308, 0.00171,
 16:46:02.476,WTCoupler_In(d2:d6:ae:79:8c:70), 2015-1-1 0:2:25.355, -0.006, -0.014, 1.001, 0, 0, 0, 0.148, -0.126, 0.192, 23.814, 3190.978, 58.604, 23.18, 0.99994, -0.0069, 0.00308, 0.00171,
