Time,Device name????,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(?t),Magnetic field Y(?t),Magnetic field Z(?t),Temperature(?),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:49:39.776,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.328,1.03,1.994,-4.15,-5.981,-199.707,-24.439,24.714,-66.346,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:39.777,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.317,1.032,1.986,-3.418,-5.798,-200.562,-29.526,17.99,-78.618,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:39.777,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.296,0.962,2.027,-2.563,-4.395,-195.19,-32.69,10.541,-89.78,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:39.778,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.307,1.009,1.966,-2.869,-5.371,-189.27,-34.53,-3.977,-111.698,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:39.778,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.29,1.018,1.99,-2.93,-3.845,-189.026,-31.24,-18.045,-133.66,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:39.796,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.293,1.127,1.988,1.648,-4.822,-180.237,-22.33,-29.773,-158.137,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:39.856,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.285,1.056,2.042,-2.258,-1.343,-183.35,-7.8,-36.541,173.677,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.018,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.249,1.015,2.012,-1.77,-2.319,-182.495,8.558,-37.068,143.795,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.068,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.259,1.2,1.969,0.183,-2.258,-173.157,22.522,-32.031,116.741,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.189,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:22.695,0.266,1.179,2.02,0.427,-4.761,-178.406,31.91,-23.302,94.29,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.302,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.259,1.101,2.012,1.16,-5.737,-180.481,36.475,-12.969,79.327,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.407,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.275,1.122,2.002,3.052,-4.761,-183.044,38.024,-2.538,66.588,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.494,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.274,1.119,1.97,-0.854,-10.132,-185.608,37.211,7.284,54.393,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.596,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.304,1.137,2.001,-1.77,-8.179,-190.308,34.08,16.342,41.896,97.118,-42.924,-49.98,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.672,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.313,1.094,2.014,-0.977,-7.812,-192.566,28.542,24.269,28.29,66.052,-35.966,-18.424,23.21,0.90961,0.23315,0.18774,0.28787
 16:49:40.812,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.321,1.055,2.008,-2.197,-8.911,-196.167,20.709,30.322,13.211,66.052,-35.966,-18.424,23.21,0.95016,0.134,0.27856,0.03897
 16:49:40.880,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.328,1.048,2.03,-4.089,-7.751,-198.73,10.833,34.129,-3.29,66.052,-35.966,-18.424,23.21,0.95016,0.134,0.27856,0.03897
 16:49:41.047,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.324,1.051,2.021,-3.845,-7.507,-200.562,0,35.14,-20.599,66.052,-35.966,-18.424,23.21,0.95016,0.134,0.27856,0.03897
 16:49:41.090,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.328,1.038,2.01,-9.338,-6.897,-199.158,-10.448,33.322,-37.343,66.052,-35.966,-18.424,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.213,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:24.545,0.339,1.033,2.009,-3.601,-6.775,-200.378,-19.144,29.103,-52.548,66.052,-35.966,-18.424,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.295,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:25.555,0.325,1.033,2.007,-3.357,-5.859,-201.355,-25.73,23.148,-66.072,66.052,-35.966,-18.424,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.390,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:25.555,0.321,0.967,2,-2.93,-3.601,-198.12,-30.168,16.221,-78.179,66.052,-35.966,-18.424,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.484,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:25.555,0.312,0.931,1.983,-4.639,-3.174,-192.932,-32.569,9.042,-88.759,66.052,-35.966,-18.424,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.622,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:25.555,0.308,1.025,1.978,-3.113,-3.54,-189.819,-33.058,1.697,-98.52,66.052,-35.966,-18.424,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.711,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:25.555,0.296,1.157,2.045,3.906,-4.578,-183.716,-32.245,-11.503,-118.685,92.904,51.254,-31.164,23.18,0.95016,0.134,0.27856,0.03897
 16:49:41.859,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:25.555,0.281,1.098,2.008,-2.625,-0.916,-183.716,-26.466,-23.961,-141.619,92.904,51.254,-31.164,23.18,0.20676,-0.27527,0.13174,-0.92953
 16:49:41.867,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.25,1.088,2.018,-2.38,-2.686,-179.26,-15.826,-33.344,-167.514,92.904,51.254,-31.164,23.18,0.20676,-0.27527,0.13174,-0.92953
 16:49:41.993,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.271,1.275,1.981,-0.671,-2.747,-174.622,-0.835,-37.766,163.641,92.904,51.254,-31.164,23.18,0.20676,-0.27527,0.13174,-0.92953
 16:49:42.103,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.258,1.155,1.974,0.61,-4.211,-180.969,15.068,-35.76,135.577,92.904,51.254,-31.164,23.18,0.20676,-0.27527,0.13174,-0.92953
 16:49:42.206,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.28,1.099,1.997,0.61,-6.653,-182.495,26.702,-28.334,113.934,81.046,-47.138,-36.26,23.18,0.20676,-0.27527,0.13174,-0.92953
 16:49:42.293,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.28,0.993,2.064,-3.113,-11.841,-185.059,33.635,-18.638,96.817,81.046,-47.138,-36.26,23.18,0.20676,-0.27527,0.13174,-0.92953
 16:49:42.469,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.303,1.054,2.022,1.648,-7.874,-186.218,36.942,-8.377,82.178,81.046,-47.138,-36.26,23.18,-0.72571,-0.27582,-0.16769,-0.60748
 16:49:42.503,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.314,1.053,2.036,-1.038,-8.301,-193.115,37.271,1.972,68.687,81.046,-47.138,-36.26,23.18,-0.72571,-0.27582,-0.16769,-0.60748
 16:49:42.615,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.332,1.095,2.025,-2.869,-8.911,-195.068,35.09,11.755,55.283,81.046,-47.138,-36.26,23.18,-0.72571,-0.27582,-0.16769,-0.60748
 16:49:42.757,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.335,1.076,2.067,-3.479,-5.92,-197.388,30.427,20.325,41.155,81.046,-47.138,-36.26,23.18,-0.72571,-0.27582,-0.16769,-0.60748
 16:49:42.796,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.334,1.06,2.049,-3.601,-6.042,-199.89,23.318,27.312,25.752,81.046,-47.138,-36.26,23.18,-0.72571,-0.27582,-0.16769,-0.60748
 16:49:42.886,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.334,1.043,2.03,-4.7,-6.409,-200.867,14.123,31.904,8.959,65.17,-16.66,-15.386,23.18,-0.72571,-0.27582,-0.16769,-0.60748
 16:49:43.051,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:26.150,0.336,1.03,2.015,-4.089,-6.592,-200.745,3.708,33.657,-8.569,65.17,-16.66,-15.386,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.096,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.346,1.032,1.999,-3.601,-6.226,-201.05,-6.356,32.64,-25.752,65.17,-16.66,-15.386,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.274,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.338,1.034,2.003,-3.357,-7.324,-202.026,-15.073,29.202,-41.715,65.17,-16.66,-15.386,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.275,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.314,0.912,2.061,-3.845,-2.319,-194.275,-21.808,24.148,-55.997,65.17,-16.66,-15.386,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.396,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.32,0.875,2.027,-5.188,-3.174,-193.115,-26.285,18.243,-68.181,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.617,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.33,0.991,2.002,-3.235,-4.883,-192.444,-28.663,11.596,-79.261,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.623,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.291,1.088,2.013,5.493,-0.916,-189.575,-28.954,4.955,-89.484,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.696,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.278,0.984,2.033,-2.686,-2.563,-182.556,-28.087,-1.126,-99.635,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.845,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.287,0.958,2.013,0.61,-1.709,-177.002,-25.785,-6.685,-109.924,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:43.906,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.266,1.02,2.045,0.305,-2.441,-179.871,-22.006,-11.239,-120.317,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:44.060,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.261,1.018,1.984,0.183,-5.005,-179.382,-16.523,-17.271,-137.516,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:44.087,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.29,1.05,2.011,0.854,-6.897,-180.725,-7.822,-23.055,-161.642,52.43,27.538,4.41,23.18,-0.95071,-0.04184,-0.28644,0.11066
 16:49:44.272,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.277,0.971,2.109,0,-9.338,-183.228,2.565,-24.824,173.936,75.166,-46.942,-30.968,23.18,0.12891,0.21735,0.03046,0.96701
 16:49:44.328,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.324,1.087,1.996,1.099,-8.423,-186.768,12.552,-22.802,150.524,75.166,-46.942,-30.968,23.18,0.12891,0.21735,0.03046,0.96701
 16:49:44.417,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.296,1.089,2.021,-2.625,-8.606,-193.115,20.209,-17.622,128.985,75.166,-46.942,-30.968,23.18,0.12891,0.21735,0.03046,0.96701
 16:49:44.546,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.34,1.085,2.013,-2.38,-8.484,-194.336,25.027,-10.492,109.698,75.166,-46.942,-30.968,23.18,0.12891,0.21735,0.03046,0.96701
 16:49:44.645,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.335,1.057,2.092,-2.625,-5.066,-196.167,27.004,-2.593,91.994,75.166,-46.942,-30.968,23.18,0.12891,0.21735,0.03046,0.96701
 16:49:44.687,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.33,1.059,2.046,-3.174,-4.761,-199.219,26.384,5.306,75.135,75.166,-46.942,-30.968,23.18,0.12891,0.21735,0.03046,0.96701
 16:49:44.840,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.331,1.037,2.016,-3.601,-4.517,-200.867,23.582,12.343,58.458,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:44.896,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:27.345,0.347,1.026,2.019,-3.967,-4.944,-200.256,18.896,17.952,41.732,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.019,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.160,0.374,1.038,2.034,-3.357,-5.127,-200.928,12.958,21.78,24.791,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.135,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.160,0.3,0.997,2.121,-3.296,-2.869,-200.745,6.295,23.758,7.8,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.262,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.160,0.288,1.117,2.022,-2.686,-3.54,-189.575,-0.203,24.12,-8.284,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.323,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.160,0.304,1.056,2.019,-2.258,-4.211,-186.34,-6.064,22.725,-23.516,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.456,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.160,0.307,1.008,1.993,-1.953,-4.7,-187.622,-10.783,19.902,-37.952,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.500,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.160,0.287,0.917,2.083,-0.671,-2.258,-183.594,-13.755,16.364,-51.213,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.682,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.755,0.269,0.999,1.983,-1.831,-1.953,-179.565,-15.87,12.651,-63.814,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.740,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.755,0.264,0.896,2.03,0.793,-1.77,-176.575,-16.754,8.674,-76.014,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.826,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.755,0.281,0.963,2.028,-0.977,-4.089,-177.429,-16.337,4.828,-87.852,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:45.946,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.755,0.303,0.968,2.031,1.221,-4.822,-180.542,-16.089,-1.846,-107.748,66.15,-20.482,-16.66,23.18,0.88647,0.11417,0.19617,0.40314
 16:49:46.042,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.755,0.265,0.909,2.184,3.418,-3.54,-179.932,-13.343,-9.349,-131.006,86.73,-46.55,-41.16,23.18,0.27829,-0.13504,0.04971,-0.94962
 16:49:46.097,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:29.755,0.282,1.069,1.94,2.808,-7.263,-181.152,-7.806,-14.996,-154.424,86.73,-46.55,-41.16,23.18,0.27829,-0.13504,0.04971,-0.94962
 16:49:46.298,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.350,0.31,1.081,2.01,-0.671,-9.033,-185.974,-0.374,-18.023,-178.16,86.73,-46.55,-41.16,23.18,0.27829,-0.13504,0.04971,-0.94962
 16:49:46.337,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.350,0.315,1.048,2.023,-0.916,-8.057,-191.589,7.405,-17.847,158.313,86.73,-46.55,-41.16,23.18,0.27829,-0.13504,0.04971,-0.94962
 16:49:46.426,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.350,0.317,1.086,2,-1.587,-8.179,-195.74,14.123,-14.837,136.038,86.73,-46.55,-41.16,23.18,0.27829,-0.13504,0.04971,-0.94962
 16:49:46.548,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.350,0.321,1.066,2.03,-3.052,-3.479,-197.144,18.792,-9.75,115.367,67.62,-30.87,-15.974,23.18,0.27829,-0.13504,0.04971,-0.94962
 16:49:46.636,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.350,0.33,1.05,2.026,-3.296,-4.272,-199.219,21.149,-3.56,96.147,67.62,-30.87,-15.974,23.18,-0.72354,-0.13589,-0.12805,-0.66446
 16:49:46.761,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.350,0.336,1.037,2.024,-4.089,-5.249,-200.317,21.341,2.758,78.019,67.62,-30.87,-15.974,23.18,-0.72354,-0.13589,-0.12805,-0.66446
 16:49:46.847,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.980,0.343,1.029,2.021,-4.761,-5.981,-200.256,19.567,8.514,60.584,67.62,-30.87,-15.974,23.18,-0.72354,-0.13589,-0.12805,-0.66446
 16:49:47.020,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.980,0.355,1.034,2.027,-3.235,-5.554,-200.928,16.425,13.321,43.467,67.62,-30.87,-15.974,23.18,-0.72354,-0.13589,-0.12805,-0.66446
 16:49:47.051,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.980,0.293,1.033,2.043,-3.967,-6.836,-201.904,12.079,16.837,26.477,67.62,-30.87,-15.974,23.18,-0.72354,-0.13589,-0.12805,-0.66446
 16:49:47.116,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.980,0.29,0.911,1.957,-3.235,-2.197,-187.012,7.218,19.138,10.267,67.62,-30.87,-15.974,23.18,-0.72354,-0.13589,-0.12805,-0.66446
 16:49:47.295,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.980,0.314,0.927,1.983,-2.686,-2.38,-187.439,2.225,19.863,-5.488,49.98,20.188,4.704,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.355,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:30.980,0.305,0.952,1.99,-1.77,-4.517,-189.27,-2.379,19.089,-20.967,49.98,20.188,4.704,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.449,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.283,0.924,2.044,-0.732,-3.845,-185.364,-5.735,17.446,-35.288,49.98,20.188,4.704,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.537,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.255,1.052,2.027,-2.441,-2.197,-179.626,-8.74,15.331,-49.065,49.98,20.188,4.704,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.625,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.252,1,2.018,2.563,-1.404,-169.861,-10.646,12.623,-62.375,49.98,20.188,4.704,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.750,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.258,0.97,2.031,4.822,-1.282,-172.485,-11.475,9.679,-75.256,49.98,20.188,4.704,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.836,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.223,1.05,2.019,1.709,-4.822,-175.964,-12.728,7.646,-86.517,98.784,-41.944,-51.156,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:47.965,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.267,1.164,1.833,0.427,-2.197,-176.147,-13.975,0.939,-108.831,98.784,-41.944,-51.156,23.18,-0.97809,-0.01779,-0.16928,0.11948
 16:49:48.086,WT901BLE68(e2:c7:f5:e1:23:63), 2015-1-1 0:36:31.665,0.289,1.091,2.062,0.366,-9.521,-182.007,-12.255,-6.24,-132.105,98.784,-41.944,-51.156,23.18,-0.97809,-0.01779,-0.16928,0.11948
