Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:27:42.550,COM14,, 0.112, -0.105, 1.043, 1.221, -1.770, 41.443, -0.264, 2.791, -65.215, -32.773, 9.580, -17.253, 31.43,,,,,,,,,,,,,,,,
 17:27:42.566,COM13,, 0.150, -1.083, -0.191, -0.916, -42.114, -1.465, -0.615, 0.615, 2.834, -12.153, -12.447, 106.820, 31.79,,,,,,,,,,,,,,,,
 17:27:42.647,COM13,, 0.111, -1.073, -0.165, -3.052, -49.744, -4.456, -1.252, 0.236, 6.542, -11.653, -12.487, 106.720, 31.80,,,,,,,,,,,,,,,,
 17:27:42.655,COM14,, 0.059, -0.109, 1.040, 1.465, -2.014, 49.438, -0.472, 2.549, -62.397, -38.780, 11.267, -21.847, 31.44,,,,,,,,,,,,,,,,
 17:27:42.734,COM14,, 0.078, -0.103, 1.001, 1.892, -2.197, 53.101, -0.681, 2.274, -58.859, -45.800, 13.513, -30.893, 31.43,,,,,,,,,,,,,,,,
 17:27:42.754,COM13,, 0.112, -1.028, -0.182, -2.869, -53.650, -4.456, -1.824, -0.033, 11.173, -10.353, -12.427, 106.153, 31.79,,,,,,,,,,,,,,,,
 17:27:42.766,COM16,, -0.048, 0.003, 0.961, -2.625, -5.127, 99.365, 5.394, 0.780, -162.125, 12.420, -16.840, 14.253, 33.13,,,,,,,,,,,,,,,,
 17:27:42.840,COM14,, 0.097, -0.151, 0.987, 2.136, -2.563, 54.810, -0.868, 2.005, -54.921, -52.340, 17.240, -46.173, 31.41,,,,,,,,,,,,,,,,
 17:27:42.860,COM13,, 0.111, -1.072, -0.176, -3.174, -54.871, -4.028, -2.164, -0.225, 16.370, -9.380, -12.327, 107.027, 31.78,,,,,,,,,,,,,,,,
 17:27:42.956,COM14,, 0.022, -0.099, 1.030, 2.136, -0.549, 56.580, -1.022, 1.813, -50.790, -52.880, 22.693, -66.980, 31.44,,,,,,,,,,,,,,,,
 17:27:42.966,COM13,, 0.091, -1.023, -0.090, -1.221, -56.641, -3.174, -2.461, -0.264, 21.835, -8.447, -12.327, 107.947, 31.81,,,,,,,,,,,,,,,,
 17:27:43.039,COM14,, 0.025, -0.150, 0.991, 1.343, -1.160, 55.908, -1.148, 1.615, -46.478, -44.320, 28.687, -87.720, 31.42,,,,,,,,,,,,,,,,
 17:27:43.047,COM13,, 0.032, -1.012, -0.121, 3.113, -55.542, 3.052, -2.703, -0.214, 27.427, -7.273, -11.840, 108.733, 31.78,,,,,,,,,,,,,,,,
 17:27:43.122,COM16,, -0.096, 0.057, 1.019, -2.991, -0.183, 103.882, 5.295, 0.555, -155.825, 9.300, -13.113, 13.073, 33.09,,,,,,,,,,,,,,,,
 17:27:43.147,COM16,, -0.134, -0.033, 0.953, -3.052, 0.183, 113.708, 5.229, 0.439, -149.310, 6.260, -9.640, 11.533, 33.10,,,,,,,,,,,,,,,,
 17:27:43.153,COM13,, 0.069, -0.983, -0.010, -0.549, -53.589, -1.160, -2.834, -0.126, 33.052, -5.407, -11.987, 110.000, 31.80,,,,,,,,,,,,,,,,
 17:27:43.168,COM16,, -0.067, -0.040, 0.975, -2.869, 3.235, 109.436, 5.103, 0.203, -142.317, 3.367, -4.967, 9.867, 33.11,,,,,,,,,,,,,,,,
 17:27:43.174,COM14,, 0.084, -0.106, 0.974, 0.732, -0.427, 54.382, -1.263, 1.489, -42.028, -26.040, 35.080, -101.193, 31.45,,,,,,,,,,,,,,,,
 17:27:43.254,COM14,, 0.057, -0.136, 0.973, 1.709, -1.282, 50.049, -1.395, 1.417, -37.612, -3.767, 39.413, -101.833, 31.39,,,,,,,,,,,,,,,,
 17:27:43.265,COM13,, 0.054, -1.087, -0.148, -1.526, -49.805, -1.282, -2.961, 0.033, 38.557, -3.760, -11.787, 109.767, 31.80,,,,,,,,,,,,,,,,
 17:27:43.276,COM16,, -0.077, -0.089, 0.902, -2.747, -1.831, 99.548, 4.543, 0.159, -135.363, -0.260, -1.227, 7.440, 33.06,,,,,,,,,,,,,,,,
 17:27:43.280,COM16,, -0.066, -0.085, 1.040, -3.845, -2.625, 85.266, 3.867, -0.269, -122.316, -3.580, 1.453, 5.040, 33.10,,,,,,,,,,,,,,,,
 17:27:43.282,COM16,, -0.095, -0.137, 1.053, -1.770, -0.671, 82.275, 3.241, -0.478, -109.682, -5.613, 3.720, 2.207, 33.11,,,,,,,,,,,,,,,,
 17:27:43.288,COM16,, -0.080, -0.082, 1.005, -0.671, -4.211, 74.402, 2.730, -0.544, -98.822, -7.560, 3.913, 0.187, 33.08,,,,,,,,,,,,,,,,
 17:27:43.311,COM16,, -0.067, -0.048, 1.107, -1.953, 0.549, 71.960, 2.329, -0.533, -89.577, -9.407, 3.720, -1.600, 33.09,,,,,,,,,,,,,,,,
 17:27:43.314,COM16,, -0.059, -0.046, 1.021, -1.648, 2.808, 72.937, 2.043, -0.242, -81.293, -9.300, 3.227, -4.407, 33.09,,,,,,,,,,,,,,,,
 17:27:43.317,COM16,, -0.047, -0.058, 0.958, -2.930, 2.014, 74.890, 1.857, -0.088, -74.229, -9.513, 0.900, -6.567, 33.10,,,,,,,,,,,,,,,,
 17:27:43.322,COM16,, -0.091, -0.016, 0.960, -2.563, -1.221, 79.407, 1.796, 0.137, -68.505, -8.707, -3.067, -6.227, 33.12,,,,,,,,,,,,,,,,
 17:27:43.344,COM16,, -0.077, -0.007, 0.942, -2.869, 0.488, 84.412, 1.846, 0.406, -64.166, -5.067, -6.740, -2.840, 33.09,,,,,,,,,,,,,,,,
 17:27:43.363,COM14,, 0.060, -0.144, 1.030, 1.038, -1.892, 43.091, -1.500, 1.362, -33.420, 15.227, 41.160, -89.113, 31.41,,,,,,,,,,,,,,,,
 17:27:43.371,COM13,, -0.005, -1.002, -0.154, -0.977, -42.480, -1.465, -3.054, 0.214, 43.753, -1.973, -12.033, 109.553, 31.80,,,,,,,,,,,,,,,,
 17:27:43.443,COM14,, 0.062, -0.152, 0.935, 2.930, -0.244, 31.372, -1.500, 1.263, -27.966, 24.700, 39.947, -69.213, 31.40,,,,,,,,,,,,,,,,
 17:27:43.456,COM13,, -0.035, -1.014, -0.112, -0.061, -30.518, 0.427, -2.862, 0.396, 48.356, -0.927, -12.033, 109.280, 31.82,,,,,,,,,,,,,,,,
