Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(?t),Magnetic field Y(?t),Magnetic field Z(?t),Temperature(?),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:32:54.555,c3:a3:c5:ed:f8:8e, 2015-01-01 00:07:22.140,0.042,1.029,1.981,0.549,0.732,-20.203,-1.417,2.659,8.536,0,-3211.264,0,24.47,0.97086,0.22281,0.03766,0.07922
 16:32:54.556,c3:a3:c5:ed:f8:8e, 2015-01-01 00:07:22.140,0.042,0.977,2.01,0.244,-0.732,-20.447,-1.423,2.78,8.163,0,-3211.264,0,24.47,0.97086,0.22281,0.03766,0.07922
 16:32:54.559,d2:d6:ae:79:8c:70, 2015-01-01 00:07:17.525,0.048,-0.014,1.006,0,-0.244,12.39,-0.209,0.132,8.322,23.814,3190.978,58.604,23.2,0.99872,0.00018,-0.00674,0.04892
 16:32:54.559,d2:d6:ae:79:8c:70, 2015-01-01 00:07:17.525,0.037,0.003,1,0.61,0.671,11.902,-0.209,0.121,8.569,23.814,3190.978,58.604,23.2,0.99872,0.00018,-0.00674,0.04892
 16:32:54.563,d2:5a:50:4a:21:12, 2015-01-01 00:07:21.715,0.033,0.008,0.953,0.488,-0.183,-19.653,-0.84,0.593,9.954,0,-3211.264,0,25.26,0.99451,0.0209,-0.00604,0.10181
 16:32:54.563,d2:5a:50:4a:21:12, 2015-01-01 00:07:21.715,0.049,0.036,1.012,0.916,-0.061,-19.958,-0.84,0.588,9.558,0,-3211.264,0,25.26,0.99451,0.0209,-0.00604,0.10181
 16:32:54.563,d2:5a:50:4a:21:12, 2015-01-01 00:07:21.715,0.034,0.005,0.974,1.343,-0.122,-20.264,-0.829,0.588,9.157,0,-3211.264,0,25.26,0.99451,0.0209,-0.00604,0.10181
 16:32:54.563,d2:5a:50:4a:21:12, 2015-01-01 00:07:21.715,0.04,0.019,1.026,1.526,-0.183,-20.996,-0.818,0.582,8.751,0,-3211.264,0,25.26,0.99451,0.0209,-0.00604,0.10181
 16:32:54.565,ef:e4:2c:bf:73:a9, 2015-01-01 00:07:20.940,-0.001,0.042,0.992,2.502,-1.16,55.115,-2.422,-1.198,-53.113,0,-3211.264,0,24.08,0.86966,0.00589,-0.01523,-0.49329
 16:32:54.565,ef:e4:2c:bf:73:a9, 2015-01-01 00:07:20.940,0.011,0.035,0.994,2.441,-1.16,55.786,-2.39,-1.236,-52.004,0,-3211.264,0,24.08,0.86966,0.00589,-0.01523,-0.49329
