Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:27:13.043,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:26.850, 0.266, 0.005, 0.975, 0.183, -12.024, 0, -89.736, -23.016, -5.471, -10.780, 75.362, -41.258, 23.99, 0.99869, 0.00339, 0.0032, -0.05032,
 11:27:13.102,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:26.850, 0.26, 0.008, 0.975, -0.061, 1.465, 0, -89.731, -23.324, -5.35, -10.780, 75.362, -41.258, 23.99, 0.99869, 0.00339, 0.0032, -0.05032,
 11:27:13.132,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:26.850, 0.229, 0.01, 0.974, 0, 10.01, -0.244, -89.725, -23.137, -5.229, -10.780, 75.362, -41.258, 23.99, 0.99579, 0.00049, -0.07901, -0.04538,
 11:27:13.163,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:26.850, 0.216, 0.009, 0.974, -0.183, 20.752, 0, -89.725, -22.467, -5.087, -10.780, 75.362, -41.258, 23.99, 0.99579, 0.00049, -0.07901, -0.04538,
 11:27:13.253,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:27.180, 0.167, 0.006, 0.976, -0.183, 27.039, -0.061, -89.731, -21.423, -4.944, -10.780, 75.362, -41.258, 23.99, 0.99579, 0.00049, -0.07901, -0.04538,
 11:27:13.313,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:27.180, 0.146, 0.006, 0.976, -0.305, 34.912, -0.061, -89.742, -20.012, -4.79, -8.918, 75.460, -41.846, 23.99, 0.99579, 0.00049, -0.07901, -0.04538,
 11:27:13.343,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:27.180, 0.09, 0.007, 0.978, -0.366, 39.795, -0.122, -89.753, -18.325, -4.642, -8.918, 75.460, -41.846, 23.99, 0.99878, 0.00272, -0.02805, -0.03973,
 11:27:13.373,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:27.180, 0.034, 0.005, 0.977, -0.427, 45.837, -0.061, -89.769, -16.331, -4.493, -8.918, 75.460, -41.846, 23.99, 0.99878, 0.00272, -0.02805, -0.03973,
 11:27:13.462,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:27.385, -0.001, 0.005, 0.974, -0.488, 50.964, -0.061, -89.786, -14.117, -4.34, -8.918, 75.460, -41.846, 23.99, 0.99878, 0.00272, -0.02805, -0.03973,
 11:27:13.522,ef:e4:2c:bf:73:a9, 2015-1-1 0:5:27.385, -0.072, 0.005, 0.972, -0.61, 53.711, 0, -89.808, -11.706, -4.191, -8.918, 75.460, -41.846, 23.99, 0.99878, 0.00272, -0.02805, -0.03973,
