Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:52.433,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:46.839, -0.384, -0.005, 0.887, 0.183, -32.41, 0,,,,,,, -90.5, 11.272, -13.299, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:52.448,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, 0.701, -0.035, 0.615, 0.244, 61.035, 0,,,,,,, 61.545, -60.683, 11.635, -41.454, 31.360, -11.564, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:52.493,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:46.839, -0.362, -0.004, 0.896, 0.183, -32.898, 0,,,,,,, -90.483, 9.712, -13.348, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:52.523,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, -0.336, -0.003, 0.91, 0.183, -34.241, 0,,,,,,, -90.467, 8.108, -13.398, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:52.554,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, -0.291, -0.004, 0.918, 0.244, -35.583, 0,,,,,,, -90.45, 6.432, -13.447, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:52.568,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, 0.611, -0.034, 0.696, 0.305, 60.303, 0,,,,,,, 62.073, -54.613, 9.882, -41.454, 31.360, -11.564, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:52.643,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, -0.27, -0.004, 0.932, 0.183, -36.804, 0,,,,,,, -90.439, 4.68, -13.502, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:52.658,d2:5a:50:4a:21:12, 2024-09-04 09:57:48.051, 0.529, -0.034, 0.759, 0.244, 61.646, 0,,,,,,, 62.446, -48.45, 8.388, -41.454, 31.360, -11.564, 23.08, 0.84698, 0.03006, -0.52448, 0.08063,
 09:57:52.673,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, -0.234, -0.001, 0.938, 0.244, -36.804, 0,,,,,,, -90.417, 2.911, -13.552, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
 09:57:52.733,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:48.034, -0.206, -0.002, 0.948, 0.305, -38.147, 0,,,,,,, -90.401, 1.099, -13.601, 2.646, 66.150, -40.866, 23.35, 0.96951, 0.02264, 0.21628, -0.11255,
